"id","date_of_death","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
37,NA,37,2,2019-02-13,2019-02-13,"user_1","user_1"
38,NA,38,5,2019-08-12,2019-08-12,"user_1","user_1"
39,NA,39,6,2020-02-08,2020-02-08,"user_1","user_1"
40,NA,40,4,2020-08-06,2020-08-06,"user_1","user_1"
41,NA,41,3,2018-08-17,2018-08-17,"user_1","user_1"
42,NA,42,3,2019-02-13,2019-02-13,"user_1","user_1"
43,NA,43,1,2019-08-12,2019-08-12,"user_1","user_1"
44,NA,44,5,2020-02-08,2020-02-08,"user_1","user_1"
45,NA,45,2,2020-08-06,2020-08-06,"user_1","user_1"
46,NA,46,3,2018-08-17,2018-08-17,"user_1","user_1"
47,NA,47,1,2019-02-13,2019-02-13,"user_1","user_1"
48,NA,48,1,2019-08-12,2019-08-12,"user_1","user_1"
49,NA,49,2,2020-02-08,2020-02-08,"user_1","user_1"
50,NA,50,1,2020-08-06,2020-08-06,"user_1","user_1"
51,NA,51,5,2018-08-17,2018-08-17,"user_1","user_1"
52,NA,52,6,2019-02-13,2019-02-13,"user_1","user_1"
53,NA,53,2,2019-08-12,2019-08-12,"user_1","user_1"
54,NA,54,1,2020-02-08,2020-02-08,"user_1","user_1"
55,NA,55,2,2020-08-06,2020-08-06,"user_1","user_1"
56,NA,56,3,2018-08-17,2018-08-17,"user_1","user_1"
57,NA,57,1,2019-02-13,2019-02-13,"user_1","user_1"
58,NA,58,2,2019-08-12,2019-08-12,"user_1","user_1"
59,NA,59,5,2020-02-08,2020-02-08,"user_1","user_1"
60,NA,60,6,2020-08-06,2020-08-06,"user_1","user_1"
61,NA,61,6,2018-08-17,2018-08-17,"user_1","user_1"
62,NA,62,4,2019-02-13,2019-02-13,"user_1","user_1"
63,NA,63,2,2019-08-12,2019-08-12,"user_1","user_1"
64,NA,64,1,2020-02-08,2020-02-08,"user_1","user_1"
65,NA,65,3,2020-08-06,2020-08-06,"user_1","user_1"
66,NA,66,1,2018-08-17,2018-08-17,"user_1","user_1"
67,NA,67,1,2019-02-13,2019-02-13,"user_1","user_1"
68,NA,68,2,2019-08-12,2019-08-12,"user_1","user_1"
69,NA,69,4,2020-02-08,2020-02-08,"user_1","user_1"
70,NA,70,1,2020-08-06,2020-08-06,"user_1","user_1"
71,NA,71,6,2018-08-17,2018-08-17,"user_1","user_1"
72,NA,72,6,2019-02-13,2019-02-13,"user_1","user_1"
73,NA,73,3,2019-08-12,2019-08-12,"user_1","user_1"
74,NA,74,4,2020-02-08,2020-02-08,"user_1","user_1"
75,NA,75,1,2020-08-06,2020-08-06,"user_1","user_1"
76,NA,76,3,2018-08-17,2018-08-17,"user_1","user_1"
77,NA,77,5,2019-02-13,2019-02-13,"user_1","user_1"
78,NA,78,4,2019-08-12,2019-08-12,"user_1","user_1"
79,NA,79,4,2020-02-08,2020-02-08,"user_1","user_1"
80,NA,80,1,2020-08-06,2020-08-06,"user_1","user_1"
81,NA,81,1,2018-08-17,2018-08-17,"user_1","user_1"
82,NA,82,6,2019-02-13,2019-02-13,"user_1","user_1"
83,NA,83,3,2019-08-12,2019-08-12,"user_1","user_1"
84,NA,84,6,2020-02-08,2020-02-08,"user_1","user_1"
85,NA,85,2,2020-08-06,2020-08-06,"user_1","user_1"
86,NA,86,1,2018-08-17,2018-08-17,"user_1","user_1"
87,NA,87,2,2019-02-13,2019-02-13,"user_1","user_1"
88,NA,88,2,2019-08-12,2019-08-12,"user_1","user_1"
89,NA,89,5,2020-02-08,2020-02-08,"user_1","user_1"
90,NA,90,6,2020-08-06,2020-08-06,"user_1","user_1"
91,NA,91,1,2018-08-17,2018-08-17,"user_1","user_1"
92,NA,92,2,2019-02-13,2019-02-13,"user_1","user_1"
93,NA,93,3,2019-08-12,2019-08-12,"user_1","user_1"
94,NA,94,1,2020-02-08,2020-02-08,"user_1","user_1"
95,NA,95,6,2020-08-06,2020-08-06,"user_1","user_1"
96,NA,96,1,2018-08-17,2018-08-17,"user_1","user_1"
97,NA,97,6,2019-02-13,2019-02-13,"user_1","user_1"
98,NA,98,5,2019-08-12,2019-08-12,"user_1","user_1"
99,NA,99,5,2020-02-08,2020-02-08,"user_1","user_1"
100,NA,100,3,2020-08-06,2020-08-06,"user_1","user_1"
101,NA,101,5,2018-08-17,2018-08-17,"user_1","user_1"
102,NA,102,2,2019-02-13,2019-02-13,"user_1","user_1"
103,NA,103,1,2019-08-12,2019-08-12,"user_1","user_1"
104,NA,104,4,2020-02-08,2020-02-08,"user_1","user_1"
105,NA,105,4,2020-08-06,2020-08-06,"user_1","user_1"
106,NA,106,1,2018-08-17,2018-08-17,"user_1","user_1"
107,NA,107,5,2019-02-13,2019-02-13,"user_1","user_1"
108,NA,108,1,2019-08-12,2019-08-12,"user_1","user_1"
109,NA,109,5,2020-02-08,2020-02-08,"user_1","user_1"
110,NA,110,5,2020-08-06,2020-08-06,"user_1","user_1"
111,NA,111,4,2018-08-17,2018-08-17,"user_1","user_1"
112,NA,112,4,2019-02-13,2019-02-13,"user_1","user_1"
113,NA,113,2,2019-08-12,2019-08-12,"user_1","user_1"
114,NA,114,6,2020-02-08,2020-02-08,"user_1","user_1"
115,NA,115,5,2020-08-06,2020-08-06,"user_1","user_1"
116,NA,116,4,2018-08-17,2018-08-17,"user_1","user_1"
117,NA,117,5,2019-02-13,2019-02-13,"user_1","user_1"
118,NA,118,3,2019-08-12,2019-08-12,"user_1","user_1"
119,NA,119,5,2020-02-08,2020-02-08,"user_1","user_1"
120,NA,120,6,2020-08-06,2020-08-06,"user_1","user_1"
121,NA,121,4,2018-08-17,2018-08-17,"user_1","user_1"
122,NA,122,5,2019-02-13,2019-02-13,"user_1","user_1"
123,NA,123,6,2019-08-12,2019-08-12,"user_1","user_1"
124,NA,124,6,2020-02-08,2020-02-08,"user_1","user_1"
125,NA,125,1,2020-08-06,2020-08-06,"user_1","user_1"
126,NA,126,2,2018-08-17,2018-08-17,"user_1","user_1"
127,NA,127,3,2019-02-13,2019-02-13,"user_1","user_1"
128,NA,128,1,2019-08-12,2019-08-12,"user_1","user_1"
129,NA,129,2,2020-02-08,2020-02-08,"user_1","user_1"
130,NA,130,1,2020-08-06,2020-08-06,"user_1","user_1"
131,NA,131,4,2018-08-17,2018-08-17,"user_1","user_1"
132,NA,132,2,2019-02-13,2019-02-13,"user_1","user_1"
133,NA,133,6,2019-08-12,2019-08-12,"user_1","user_1"
134,NA,134,6,2020-02-08,2020-02-08,"user_1","user_1"
135,NA,135,3,2020-08-06,2020-08-06,"user_1","user_1"
136,NA,136,1,2018-08-17,2018-08-17,"user_1","user_1"
137,NA,137,5,2019-02-13,2019-02-13,"user_1","user_1"
138,NA,138,2,2019-08-12,2019-08-12,"user_1","user_1"
139,NA,139,6,2020-02-08,2020-02-08,"user_1","user_1"
140,NA,140,3,2020-08-06,2020-08-06,"user_1","user_1"
141,NA,141,4,2018-08-17,2018-08-17,"user_1","user_1"
142,NA,142,3,2019-02-13,2019-02-13,"user_1","user_1"
143,NA,143,1,2019-08-12,2019-08-12,"user_1","user_1"
144,NA,144,5,2020-02-08,2020-02-08,"user_1","user_1"
145,NA,145,1,2020-08-06,2020-08-06,"user_1","user_1"
146,NA,146,2,2018-08-17,2018-08-17,"user_1","user_1"
147,NA,147,1,2019-02-13,2019-02-13,"user_1","user_1"
148,NA,148,1,2019-08-12,2019-08-12,"user_1","user_1"
149,NA,149,3,2020-02-08,2020-02-08,"user_1","user_1"
150,NA,150,5,2020-08-06,2020-08-06,"user_1","user_1"
151,NA,151,3,2018-08-17,2018-08-17,"user_1","user_1"
152,NA,152,6,2019-02-13,2019-02-13,"user_1","user_1"
153,NA,153,3,2019-08-12,2019-08-12,"user_1","user_1"
154,NA,154,2,2020-02-08,2020-02-08,"user_1","user_1"
155,NA,155,1,2020-08-06,2020-08-06,"user_1","user_1"
156,NA,156,6,2018-08-17,2018-08-17,"user_1","user_1"
157,NA,157,4,2019-02-13,2019-02-13,"user_1","user_1"
158,NA,158,6,2019-08-12,2019-08-12,"user_1","user_1"
159,NA,159,5,2020-02-08,2020-02-08,"user_1","user_1"
160,NA,160,6,2020-08-06,2020-08-06,"user_1","user_1"
161,NA,161,2,2018-08-17,2018-08-17,"user_1","user_1"
162,NA,162,1,2019-02-13,2019-02-13,"user_1","user_1"
163,NA,163,3,2019-08-12,2019-08-12,"user_1","user_1"
164,NA,164,2,2020-02-08,2020-02-08,"user_1","user_1"
165,NA,165,1,2020-08-06,2020-08-06,"user_1","user_1"
166,NA,166,5,2018-08-17,2018-08-17,"user_1","user_1"
167,NA,167,4,2019-02-13,2019-02-13,"user_1","user_1"
168,NA,168,2,2019-08-12,2019-08-12,"user_1","user_1"
169,NA,169,4,2020-02-08,2020-02-08,"user_1","user_1"
170,NA,170,2,2020-08-06,2020-08-06,"user_1","user_1"
171,NA,171,1,2018-08-17,2018-08-17,"user_1","user_1"
172,NA,172,4,2019-02-13,2019-02-13,"user_1","user_1"
173,NA,173,2,2019-08-12,2019-08-12,"user_1","user_1"
174,NA,174,6,2020-02-08,2020-02-08,"user_1","user_1"
175,NA,175,4,2020-08-06,2020-08-06,"user_1","user_1"
176,NA,176,1,2018-08-17,2018-08-17,"user_1","user_1"
177,NA,177,6,2019-02-13,2019-02-13,"user_1","user_1"
178,NA,178,3,2019-08-12,2019-08-12,"user_1","user_1"
179,NA,179,6,2020-02-08,2020-02-08,"user_1","user_1"
180,NA,180,4,2020-08-06,2020-08-06,"user_1","user_1"
181,NA,181,4,2018-08-17,2018-08-17,"user_1","user_1"
182,NA,182,5,2019-02-13,2019-02-13,"user_1","user_1"
183,NA,183,5,2019-08-12,2019-08-12,"user_1","user_1"
184,NA,184,4,2020-02-08,2020-02-08,"user_1","user_1"
185,NA,185,2,2020-08-06,2020-08-06,"user_1","user_1"
186,NA,186,4,2018-08-17,2018-08-17,"user_1","user_1"
187,NA,187,4,2019-02-13,2019-02-13,"user_1","user_1"
188,NA,188,4,2019-08-12,2019-08-12,"user_1","user_1"
189,NA,189,4,2020-02-08,2020-02-08,"user_1","user_1"
190,NA,190,6,2020-08-06,2020-08-06,"user_1","user_1"
191,NA,191,4,2018-08-17,2018-08-17,"user_1","user_1"
192,NA,192,4,2019-02-13,2019-02-13,"user_1","user_1"
193,NA,193,2,2019-08-12,2019-08-12,"user_1","user_1"
194,NA,194,3,2020-02-08,2020-02-08,"user_1","user_1"
195,NA,195,1,2020-08-06,2020-08-06,"user_1","user_1"
196,NA,196,3,2018-08-17,2018-08-17,"user_1","user_1"
197,NA,197,3,2019-02-13,2019-02-13,"user_1","user_1"
198,NA,198,2,2019-08-12,2019-08-12,"user_1","user_1"
199,NA,199,1,2020-02-08,2020-02-08,"user_1","user_1"
200,NA,200,6,2020-08-06,2020-08-06,"user_1","user_1"
201,NA,201,2,2018-08-17,2018-08-17,"user_1","user_1"
202,NA,202,3,2019-02-13,2019-02-13,"user_1","user_1"
203,NA,203,6,2019-08-12,2019-08-12,"user_1","user_1"
204,NA,204,4,2020-02-08,2020-02-08,"user_1","user_1"
205,NA,205,4,2020-08-06,2020-08-06,"user_1","user_1"
206,NA,206,2,2018-08-17,2018-08-17,"user_1","user_1"
207,NA,207,4,2019-02-13,2019-02-13,"user_1","user_1"
208,NA,208,6,2019-08-12,2019-08-12,"user_1","user_1"
209,NA,209,2,2020-02-08,2020-02-08,"user_1","user_1"
210,NA,210,1,2020-08-06,2020-08-06,"user_1","user_1"
211,NA,211,3,2018-08-17,2018-08-17,"user_1","user_1"
212,NA,212,4,2019-02-13,2019-02-13,"user_1","user_1"
213,NA,213,1,2019-08-12,2019-08-12,"user_1","user_1"
214,NA,214,3,2020-02-08,2020-02-08,"user_1","user_1"
215,NA,215,5,2020-08-06,2020-08-06,"user_1","user_1"
216,NA,216,4,2018-08-17,2018-08-17,"user_1","user_1"
217,NA,217,1,2019-02-13,2019-02-13,"user_1","user_1"
218,NA,218,5,2019-08-12,2019-08-12,"user_1","user_1"
219,NA,219,2,2020-02-08,2020-02-08,"user_1","user_1"
220,NA,220,3,2020-08-06,2020-08-06,"user_1","user_1"
221,NA,221,5,2018-08-17,2018-08-17,"user_1","user_1"
222,NA,222,5,2019-02-13,2019-02-13,"user_1","user_1"
223,NA,223,1,2019-08-12,2019-08-12,"user_1","user_1"
224,NA,224,6,2020-02-08,2020-02-08,"user_1","user_1"
225,NA,225,1,2020-08-06,2020-08-06,"user_1","user_1"
226,NA,226,2,2018-08-17,2018-08-17,"user_1","user_1"
227,NA,227,4,2019-02-13,2019-02-13,"user_1","user_1"
228,NA,228,4,2019-08-12,2019-08-12,"user_1","user_1"
229,NA,229,2,2020-02-08,2020-02-08,"user_1","user_1"
230,NA,230,2,2020-08-06,2020-08-06,"user_1","user_1"
231,NA,231,1,2018-08-17,2018-08-17,"user_1","user_1"
232,NA,232,2,2019-02-13,2019-02-13,"user_1","user_1"
233,NA,233,1,2019-08-12,2019-08-12,"user_1","user_1"
234,NA,234,1,2020-02-08,2020-02-08,"user_1","user_1"
235,NA,235,2,2020-08-06,2020-08-06,"user_1","user_1"
236,NA,236,5,2018-08-17,2018-08-17,"user_1","user_1"
237,NA,237,1,2019-02-13,2019-02-13,"user_1","user_1"
238,NA,238,1,2019-08-12,2019-08-12,"user_1","user_1"
239,NA,239,1,2020-02-08,2020-02-08,"user_1","user_1"
240,NA,240,3,2020-08-06,2020-08-06,"user_1","user_1"
241,NA,241,3,2018-08-17,2018-08-17,"user_1","user_1"
242,NA,242,6,2019-02-13,2019-02-13,"user_1","user_1"
243,NA,243,3,2019-08-12,2019-08-12,"user_1","user_1"
244,NA,244,2,2020-02-08,2020-02-08,"user_1","user_1"
245,NA,245,1,2020-08-06,2020-08-06,"user_1","user_1"
246,NA,246,6,2018-08-17,2018-08-17,"user_1","user_1"
247,NA,247,3,2019-02-13,2019-02-13,"user_1","user_1"
248,NA,248,5,2019-08-12,2019-08-12,"user_1","user_1"
249,NA,249,5,2020-02-08,2020-02-08,"user_1","user_1"
250,NA,250,6,2020-08-06,2020-08-06,"user_1","user_1"
251,NA,251,1,2018-08-17,2018-08-17,"user_1","user_1"
252,NA,252,4,2019-02-13,2019-02-13,"user_1","user_1"
253,NA,253,4,2019-08-12,2019-08-12,"user_1","user_1"
254,NA,254,6,2020-02-08,2020-02-08,"user_1","user_1"
255,NA,255,3,2020-08-06,2020-08-06,"user_1","user_1"
256,NA,256,6,2018-08-17,2018-08-17,"user_1","user_1"
257,NA,257,3,2019-02-13,2019-02-13,"user_1","user_1"
258,NA,258,3,2019-08-12,2019-08-12,"user_1","user_1"
259,NA,259,1,2020-02-08,2020-02-08,"user_1","user_1"
260,NA,260,3,2020-08-06,2020-08-06,"user_1","user_1"
261,NA,261,3,2018-08-17,2018-08-17,"user_1","user_1"
262,NA,262,5,2019-02-13,2019-02-13,"user_1","user_1"
263,NA,263,1,2019-08-12,2019-08-12,"user_1","user_1"
264,NA,264,4,2020-02-08,2020-02-08,"user_1","user_1"
265,NA,265,2,2020-08-06,2020-08-06,"user_1","user_1"
266,NA,266,5,2018-08-17,2018-08-17,"user_1","user_1"
267,NA,267,4,2019-02-13,2019-02-13,"user_1","user_1"
268,NA,268,6,2019-08-12,2019-08-12,"user_1","user_1"
269,NA,269,1,2020-02-08,2020-02-08,"user_1","user_1"
270,NA,270,4,2020-08-06,2020-08-06,"user_1","user_1"
271,NA,271,2,2018-08-17,2018-08-17,"user_1","user_1"
272,NA,272,3,2019-02-13,2019-02-13,"user_1","user_1"
273,NA,273,6,2019-08-12,2019-08-12,"user_1","user_1"
274,NA,274,5,2020-02-08,2020-02-08,"user_1","user_1"
275,NA,275,4,2020-08-06,2020-08-06,"user_1","user_1"
276,NA,276,4,2018-08-17,2018-08-17,"user_1","user_1"
277,NA,277,3,2019-02-13,2019-02-13,"user_1","user_1"
278,NA,278,4,2019-08-12,2019-08-12,"user_1","user_1"
279,NA,279,6,2020-02-08,2020-02-08,"user_1","user_1"
280,NA,280,1,2020-08-06,2020-08-06,"user_1","user_1"
281,NA,281,3,2018-08-17,2018-08-17,"user_1","user_1"
282,NA,282,4,2019-02-13,2019-02-13,"user_1","user_1"
283,NA,283,5,2019-08-12,2019-08-12,"user_1","user_1"
284,NA,284,6,2020-02-08,2020-02-08,"user_1","user_1"
285,NA,285,4,2020-08-06,2020-08-06,"user_1","user_1"
286,NA,286,5,2018-08-17,2018-08-17,"user_1","user_1"
287,NA,287,6,2019-02-13,2019-02-13,"user_1","user_1"
288,NA,288,3,2019-08-12,2019-08-12,"user_1","user_1"
289,NA,289,3,2020-02-08,2020-02-08,"user_1","user_1"
290,NA,290,3,2020-08-06,2020-08-06,"user_1","user_1"
291,NA,291,2,2018-08-17,2018-08-17,"user_1","user_1"
292,NA,292,4,2019-02-13,2019-02-13,"user_1","user_1"
293,NA,293,2,2019-08-12,2019-08-12,"user_1","user_1"
294,NA,294,6,2020-02-08,2020-02-08,"user_1","user_1"
295,NA,295,2,2020-08-06,2020-08-06,"user_1","user_1"
296,NA,296,2,2018-08-17,2018-08-17,"user_1","user_1"
297,NA,297,4,2019-02-13,2019-02-13,"user_1","user_1"
298,NA,298,1,2019-08-12,2019-08-12,"user_1","user_1"
299,NA,299,1,2020-02-08,2020-02-08,"user_1","user_1"
300,NA,300,1,2020-08-06,2020-08-06,"user_1","user_1"
301,NA,301,2,2018-08-17,2018-08-17,"user_1","user_1"
302,NA,302,6,2019-02-13,2019-02-13,"user_1","user_1"
303,NA,303,5,2019-08-12,2019-08-12,"user_1","user_1"
304,NA,304,1,2020-02-08,2020-02-08,"user_1","user_1"
305,NA,305,4,2020-08-06,2020-08-06,"user_1","user_1"
306,NA,306,4,2018-08-17,2018-08-17,"user_1","user_1"
307,NA,307,1,2019-02-13,2019-02-13,"user_1","user_1"
308,NA,308,5,2019-08-12,2019-08-12,"user_1","user_1"
309,NA,309,5,2020-02-08,2020-02-08,"user_1","user_1"
310,NA,310,4,2020-08-06,2020-08-06,"user_1","user_1"
311,NA,311,5,2018-08-17,2018-08-17,"user_1","user_1"
312,NA,312,6,2019-02-13,2019-02-13,"user_1","user_1"
313,NA,313,1,2019-08-12,2019-08-12,"user_1","user_1"
314,NA,314,2,2020-02-08,2020-02-08,"user_1","user_1"
315,NA,315,1,2020-08-06,2020-08-06,"user_1","user_1"
316,NA,316,2,2018-08-17,2018-08-17,"user_1","user_1"
317,NA,317,6,2019-02-13,2019-02-13,"user_1","user_1"
318,NA,318,4,2019-08-12,2019-08-12,"user_1","user_1"
319,NA,319,3,2020-02-08,2020-02-08,"user_1","user_1"
320,NA,320,6,2020-08-06,2020-08-06,"user_1","user_1"
321,NA,321,5,2018-08-17,2018-08-17,"user_1","user_1"
322,NA,322,4,2019-02-13,2019-02-13,"user_1","user_1"
323,NA,323,1,2019-08-12,2019-08-12,"user_1","user_1"
324,NA,324,3,2020-02-08,2020-02-08,"user_1","user_1"
325,NA,325,3,2020-08-06,2020-08-06,"user_1","user_1"
326,NA,326,6,2018-08-17,2018-08-17,"user_1","user_1"
327,NA,327,6,2019-02-13,2019-02-13,"user_1","user_1"
328,NA,328,5,2019-08-12,2019-08-12,"user_1","user_1"
329,NA,329,6,2020-02-08,2020-02-08,"user_1","user_1"
330,NA,330,2,2020-08-06,2020-08-06,"user_1","user_1"
331,NA,331,2,2018-08-17,2018-08-17,"user_1","user_1"
332,NA,332,4,2019-02-13,2019-02-13,"user_1","user_1"
333,NA,333,6,2019-08-12,2019-08-12,"user_1","user_1"
334,NA,334,4,2020-02-08,2020-02-08,"user_1","user_1"
335,NA,335,3,2020-08-06,2020-08-06,"user_1","user_1"
336,NA,336,3,2018-08-17,2018-08-17,"user_1","user_1"
337,NA,337,6,2019-02-13,2019-02-13,"user_1","user_1"
338,NA,338,4,2019-08-12,2019-08-12,"user_1","user_1"
339,NA,339,4,2020-02-08,2020-02-08,"user_1","user_1"
340,NA,340,4,2020-08-06,2020-08-06,"user_1","user_1"
341,NA,341,1,2018-08-17,2018-08-17,"user_1","user_1"
342,NA,342,3,2019-02-13,2019-02-13,"user_1","user_1"
343,NA,343,6,2019-08-12,2019-08-12,"user_1","user_1"
344,NA,344,6,2020-02-08,2020-02-08,"user_1","user_1"
345,NA,345,6,2020-08-06,2020-08-06,"user_1","user_1"
346,NA,346,1,2018-08-17,2018-08-17,"user_1","user_1"
347,NA,347,6,2019-02-13,2019-02-13,"user_1","user_1"
348,NA,348,2,2019-08-12,2019-08-12,"user_1","user_1"
349,NA,349,2,2020-02-08,2020-02-08,"user_1","user_1"
350,NA,350,1,2020-08-06,2020-08-06,"user_1","user_1"
351,NA,351,4,2018-08-17,2018-08-17,"user_1","user_1"
352,NA,352,4,2019-02-13,2019-02-13,"user_1","user_1"
353,NA,353,2,2019-08-12,2019-08-12,"user_1","user_1"
354,NA,354,6,2020-02-08,2020-02-08,"user_1","user_1"
355,NA,355,2,2020-08-06,2020-08-06,"user_1","user_1"
356,NA,356,3,2018-08-17,2018-08-17,"user_1","user_1"
357,NA,357,6,2019-02-13,2019-02-13,"user_1","user_1"
358,NA,358,1,2019-08-12,2019-08-12,"user_1","user_1"
359,NA,359,4,2020-02-08,2020-02-08,"user_1","user_1"
360,NA,360,5,2020-08-06,2020-08-06,"user_1","user_1"
361,NA,361,4,2018-08-17,2018-08-17,"user_1","user_1"
362,NA,362,5,2019-02-13,2019-02-13,"user_1","user_1"
363,NA,363,3,2019-08-12,2019-08-12,"user_1","user_1"
364,NA,364,5,2020-02-08,2020-02-08,"user_1","user_1"
365,NA,365,2,2020-08-06,2020-08-06,"user_1","user_1"
366,NA,366,5,2018-08-17,2018-08-17,"user_1","user_1"
367,NA,367,4,2019-02-13,2019-02-13,"user_1","user_1"
368,NA,368,4,2019-08-12,2019-08-12,"user_1","user_1"
369,NA,369,5,2020-02-08,2020-02-08,"user_1","user_1"
370,NA,370,3,2020-08-06,2020-08-06,"user_1","user_1"
371,NA,371,6,2018-08-17,2018-08-17,"user_1","user_1"
372,NA,372,3,2019-02-13,2019-02-13,"user_1","user_1"
373,NA,373,2,2019-08-12,2019-08-12,"user_1","user_1"
374,NA,374,3,2020-02-08,2020-02-08,"user_1","user_1"
375,NA,375,4,2020-08-06,2020-08-06,"user_1","user_1"
376,NA,376,6,2018-08-17,2018-08-17,"user_1","user_1"
377,NA,377,3,2019-02-13,2019-02-13,"user_1","user_1"
378,NA,378,1,2019-08-12,2019-08-12,"user_1","user_1"
379,NA,379,3,2020-02-08,2020-02-08,"user_1","user_1"
380,NA,380,1,2020-08-06,2020-08-06,"user_1","user_1"
381,NA,381,1,2018-08-17,2018-08-17,"user_1","user_1"
382,NA,382,2,2019-02-13,2019-02-13,"user_1","user_1"
383,NA,383,5,2019-08-12,2019-08-12,"user_1","user_1"
384,NA,384,1,2020-02-08,2020-02-08,"user_1","user_1"
385,NA,385,4,2020-08-06,2020-08-06,"user_1","user_1"
386,NA,386,2,2018-08-17,2018-08-17,"user_1","user_1"
387,NA,387,2,2019-02-13,2019-02-13,"user_1","user_1"
388,NA,388,2,2019-08-12,2019-08-12,"user_1","user_1"
389,NA,389,2,2020-02-08,2020-02-08,"user_1","user_1"
390,NA,390,1,2020-08-06,2020-08-06,"user_1","user_1"
391,NA,391,2,2018-08-17,2018-08-17,"user_1","user_1"
392,NA,392,4,2019-02-13,2019-02-13,"user_1","user_1"
393,NA,393,4,2019-08-12,2019-08-12,"user_1","user_1"
394,NA,394,5,2020-02-08,2020-02-08,"user_1","user_1"
395,NA,395,5,2020-08-06,2020-08-06,"user_1","user_1"
396,NA,396,6,2018-08-17,2018-08-17,"user_1","user_1"
397,NA,397,2,2019-02-13,2019-02-13,"user_1","user_1"
398,NA,398,4,2019-08-12,2019-08-12,"user_1","user_1"
399,NA,399,5,2020-02-08,2020-02-08,"user_1","user_1"
400,NA,400,2,2020-08-06,2020-08-06,"user_1","user_1"
401,NA,401,6,2018-08-17,2018-08-17,"user_1","user_1"
402,NA,402,4,2019-02-13,2019-02-13,"user_1","user_1"
403,NA,403,3,2019-08-12,2019-08-12,"user_1","user_1"
404,NA,404,6,2020-02-08,2020-02-08,"user_1","user_1"
405,NA,405,5,2020-08-06,2020-08-06,"user_1","user_1"
406,NA,406,4,2018-08-17,2018-08-17,"user_1","user_1"
407,NA,407,2,2019-02-13,2019-02-13,"user_1","user_1"
408,NA,408,4,2019-08-12,2019-08-12,"user_1","user_1"
409,NA,409,2,2020-02-08,2020-02-08,"user_1","user_1"
410,NA,410,2,2020-08-06,2020-08-06,"user_1","user_1"
411,NA,411,6,2018-08-17,2018-08-17,"user_1","user_1"
412,NA,412,2,2019-02-13,2019-02-13,"user_1","user_1"
413,NA,413,1,2019-08-12,2019-08-12,"user_1","user_1"
414,NA,414,6,2020-02-08,2020-02-08,"user_1","user_1"
415,NA,415,1,2020-08-06,2020-08-06,"user_1","user_1"
416,NA,416,4,2018-08-17,2018-08-17,"user_1","user_1"
417,NA,417,1,2019-02-13,2019-02-13,"user_1","user_1"
418,NA,418,2,2019-08-12,2019-08-12,"user_1","user_1"
419,NA,419,4,2020-02-08,2020-02-08,"user_1","user_1"
420,NA,420,3,2020-08-06,2020-08-06,"user_1","user_1"
421,NA,421,2,2018-08-17,2018-08-17,"user_1","user_1"
