"id","admin_1","admin_2","admin_3","household_code","registration_round","registration_date","registration_update_date","registration_user","registration_update_user","members"
191,"A","E","K","A-E-A-191",3,"2019-02-13","2019-02-13","user_1","user_1",6060
192,"A","F","L","A-F-A-192",1,"2021-02-02","2021-02-02","user_1","user_1",5971
193,"A","A","A","A-A-A-193",4,"2021-02-02","2021-02-02","user_1","user_1",5979
194,"A","B","B","A-B-A-194",5,"2020-02-08","2020-02-08","user_1","user_1",5982
195,"A","C","C","A-C-A-195",2,"2018-08-17","2018-08-17","user_1","user_1",5979
196,"A","D","D","A-D-A-196",5,"2020-08-06","2020-08-06","user_1","user_1",6101
197,"A","E","E","A-E-A-197",4,"2019-02-13","2019-02-13","user_1","user_1",5971
198,"A","F","F","A-F-A-198",1,"2021-02-02","2021-02-02","user_1","user_1",5866
199,"A","A","G","A-A-A-199",1,"2021-02-02","2021-02-02","user_1","user_1",5866
200,"A","B","H","A-B-A-200",3,"2020-02-08","2020-02-08","user_1","user_1",5866
201,"A","C","I","A-C-A-201",3,"2018-08-17","2018-08-17","user_1","user_1",5982
202,"A","D","J","A-D-A-202",2,"2020-08-06","2020-08-06","user_1","user_1",6101
203,"A","E","K","A-E-A-203",6,"2019-02-13","2019-02-13","user_1","user_1",6101
204,"A","F","L","A-F-A-204",4,"2021-02-02","2021-02-02","user_1","user_1",5979
205,"A","A","A","A-A-A-205",3,"2021-02-02","2021-02-02","user_1","user_1",5918
206,"A","B","B","A-B-A-206",1,"2020-02-08","2020-02-08","user_1","user_1",6035
207,"A","C","C","A-C-A-207",3,"2018-08-17","2018-08-17","user_1","user_1",5971
208,"A","D","D","A-D-A-208",5,"2020-08-06","2020-08-06","user_1","user_1",5979
209,"A","E","E","A-E-A-209",3,"2019-02-13","2019-02-13","user_1","user_1",5973
210,"A","F","F","A-F-A-210",2,"2021-02-02","2021-02-02","user_1","user_1",5973
211,"A","A","G","A-A-A-211",4,"2021-02-02","2021-02-02","user_1","user_1",5973
212,"A","B","H","A-B-A-212",6,"2020-02-08","2020-02-08","user_1","user_1",6115
213,"A","C","I","A-C-A-213",4,"2018-08-17","2018-08-17","user_1","user_1",5971
214,"A","D","J","A-D-A-214",2,"2020-08-06","2020-08-06","user_1","user_1",5979
215,"A","E","K","A-E-A-215",1,"2019-02-13","2019-02-13","user_1","user_1",6035
216,"A","F","L","A-F-A-216",1,"2021-02-02","2021-02-02","user_1","user_1",6101
217,"A","A","A","A-A-A-217",1,"2021-02-02","2021-02-02","user_1","user_1",5918
218,"A","B","B","A-B-A-218",5,"2020-02-08","2020-02-08","user_1","user_1",5979
219,"A","C","C","A-C-A-219",5,"2018-08-17","2018-08-17","user_1","user_1",5866
220,"A","D","D","A-D-A-220",1,"2020-08-06","2020-08-06","user_1","user_1",6060
221,"A","E","E","A-E-A-221",6,"2019-02-13","2019-02-13","user_1","user_1",5973
222,"A","F","F","A-F-A-222",5,"2021-02-02","2021-02-02","user_1","user_1",5979
223,"A","A","G","A-A-A-223",5,"2021-02-02","2021-02-02","user_1","user_1",6115
224,"A","B","H","A-B-A-224",4,"2020-02-08","2020-02-08","user_1","user_1",6101
225,"A","C","I","A-C-A-225",2,"2018-08-17","2018-08-17","user_1","user_1",5982
226,"A","D","J","A-D-A-226",6,"2020-08-06","2020-08-06","user_1","user_1",5866
227,"A","E","K","A-E-A-227",2,"2019-02-13","2019-02-13","user_1","user_1",6101
228,"A","F","L","A-F-A-228",4,"2021-02-02","2021-02-02","user_1","user_1",6060
229,"A","A","A","A-A-A-229",5,"2021-02-02","2021-02-02","user_1","user_1",5982
230,"A","B","B","A-B-A-230",2,"2020-02-08","2020-02-08","user_1","user_1",5866
231,"A","C","C","A-C-A-231",6,"2018-08-17","2018-08-17","user_1","user_1",5982
232,"A","D","D","A-D-A-232",5,"2020-08-06","2020-08-06","user_1","user_1",6060
233,"A","E","E","A-E-A-233",1,"2019-02-13","2019-02-13","user_1","user_1",5971
234,"A","F","F","A-F-A-234",6,"2021-02-02","2021-02-02","user_1","user_1",5982
235,"A","A","G","A-A-A-235",3,"2021-02-02","2021-02-02","user_1","user_1",5971
236,"A","B","H","A-B-A-236",6,"2020-02-08","2020-02-08","user_1","user_1",5973
237,"A","C","I","A-C-A-237",2,"2018-08-17","2018-08-17","user_1","user_1",6035
238,"A","D","J","A-D-A-238",2,"2020-08-06","2020-08-06","user_1","user_1",5979
239,"A","E","K","A-E-A-239",2,"2019-02-13","2019-02-13","user_1","user_1",6035
240,"A","F","L","A-F-A-240",3,"2021-02-02","2021-02-02","user_1","user_1",5982
241,"A","A","A","A-A-A-241",3,"2021-02-02","2021-02-02","user_1","user_1",5973
242,"A","B","B","A-B-A-242",3,"2020-02-08","2020-02-08","user_1","user_1",6060
243,"A","C","C","A-C-A-243",2,"2018-08-17","2018-08-17","user_1","user_1",5979
244,"A","D","D","A-D-A-244",3,"2020-08-06","2020-08-06","user_1","user_1",5973
245,"A","E","E","A-E-A-245",5,"2019-02-13","2019-02-13","user_1","user_1",6115
246,"A","F","F","A-F-A-246",6,"2021-02-02","2021-02-02","user_1","user_1",6115
247,"A","A","G","A-A-A-247",2,"2021-02-02","2021-02-02","user_1","user_1",5979
248,"A","B","H","A-B-A-248",1,"2020-02-08","2020-02-08","user_1","user_1",5979
249,"A","C","I","A-C-A-249",1,"2018-08-17","2018-08-17","user_1","user_1",5979
250,"A","D","J","A-D-A-250",2,"2020-08-06","2020-08-06","user_1","user_1",6035
251,"A","E","K","A-E-A-251",4,"2019-02-13","2019-02-13","user_1","user_1",5979
252,"A","F","L","A-F-A-252",1,"2021-02-02","2021-02-02","user_1","user_1",5971
253,"A","A","A","A-A-A-253",1,"2021-02-02","2021-02-02","user_1","user_1",5979
254,"A","B","B","A-B-A-254",5,"2020-02-08","2020-02-08","user_1","user_1",6060
255,"A","C","C","A-C-A-255",1,"2018-08-17","2018-08-17","user_1","user_1",5866
256,"A","D","D","A-D-A-256",3,"2020-08-06","2020-08-06","user_1","user_1",5979
257,"A","E","E","A-E-A-257",3,"2019-02-13","2019-02-13","user_1","user_1",6035
258,"A","F","F","A-F-A-258",4,"2021-02-02","2021-02-02","user_1","user_1",6101
259,"A","A","G","A-A-A-259",6,"2021-02-02","2021-02-02","user_1","user_1",6035
260,"A","B","H","A-B-A-260",4,"2020-02-08","2020-02-08","user_1","user_1",5866
261,"A","C","I","A-C-A-261",1,"2018-08-17","2018-08-17","user_1","user_1",6101
262,"A","D","J","A-D-A-262",4,"2020-08-06","2020-08-06","user_1","user_1",5979
263,"A","E","K","A-E-A-263",6,"2019-02-13","2019-02-13","user_1","user_1",5979
264,"A","F","L","A-F-A-264",5,"2021-02-02","2021-02-02","user_1","user_1",6035
265,"A","A","A","A-A-A-265",4,"2021-02-02","2021-02-02","user_1","user_1",5918
266,"A","B","B","A-B-A-266",5,"2020-02-08","2020-02-08","user_1","user_1",5866
267,"A","C","C","A-C-A-267",2,"2018-08-17","2018-08-17","user_1","user_1",5982
268,"A","D","D","A-D-A-268",1,"2020-08-06","2020-08-06","user_1","user_1",6035
269,"A","E","E","A-E-A-269",4,"2019-02-13","2019-02-13","user_1","user_1",6060
270,"A","F","F","A-F-A-270",5,"2021-02-02","2021-02-02","user_1","user_1",6035
271,"A","A","G","A-A-A-271",5,"2021-02-02","2021-02-02","user_1","user_1",6115
272,"A","B","H","A-B-A-272",2,"2020-02-08","2020-02-08","user_1","user_1",5973
273,"A","C","I","A-C-A-273",5,"2018-08-17","2018-08-17","user_1","user_1",6115
274,"A","D","J","A-D-A-274",2,"2020-08-06","2020-08-06","user_1","user_1",6101
275,"A","E","K","A-E-A-275",5,"2019-02-13","2019-02-13","user_1","user_1",5982
276,"A","F","L","A-F-A-276",1,"2021-02-02","2021-02-02","user_1","user_1",5918
277,"A","A","A","A-A-A-277",4,"2021-02-02","2021-02-02","user_1","user_1",6060
278,"A","B","B","A-B-A-278",6,"2020-02-08","2020-02-08","user_1","user_1",6035
279,"A","C","C","A-C-A-279",3,"2018-08-17","2018-08-17","user_1","user_1",5918
280,"A","D","D","A-D-A-280",1,"2020-08-06","2020-08-06","user_1","user_1",5971
281,"A","E","E","A-E-A-281",6,"2019-02-13","2019-02-13","user_1","user_1",5979
282,"A","F","F","A-F-A-282",1,"2021-02-02","2021-02-02","user_1","user_1",5982
283,"A","A","G","A-A-A-283",6,"2021-02-02","2021-02-02","user_1","user_1",5973
284,"A","B","H","A-B-A-284",4,"2020-02-08","2020-02-08","user_1","user_1",5973
285,"A","C","I","A-C-A-285",3,"2018-08-17","2018-08-17","user_1","user_1",6101
286,"A","D","J","A-D-A-286",4,"2020-08-06","2020-08-06","user_1","user_1",5918
287,"A","E","K","A-E-A-287",2,"2019-02-13","2019-02-13","user_1","user_1",5973
288,"A","F","L","A-F-A-288",2,"2021-02-02","2021-02-02","user_1","user_1",5973
289,"A","A","A","A-A-A-289",4,"2021-02-02","2021-02-02","user_1","user_1",5982
290,"A","B","B","A-B-A-290",6,"2020-02-08","2020-02-08","user_1","user_1",5982
291,"A","C","C","A-C-A-291",4,"2018-08-17","2018-08-17","user_1","user_1",5918
292,"A","D","D","A-D-A-292",4,"2020-08-06","2020-08-06","user_1","user_1",5973
293,"A","E","E","A-E-A-293",3,"2019-02-13","2019-02-13","user_1","user_1",6115
294,"A","F","F","A-F-A-294",3,"2021-02-02","2021-02-02","user_1","user_1",6060
295,"A","A","G","A-A-A-295",3,"2021-02-02","2021-02-02","user_1","user_1",5982
296,"A","B","H","A-B-A-296",5,"2020-02-08","2020-02-08","user_1","user_1",5918
297,"A","C","I","A-C-A-297",2,"2018-08-17","2018-08-17","user_1","user_1",6101
298,"A","D","J","A-D-A-298",4,"2020-08-06","2020-08-06","user_1","user_1",5973
299,"A","E","K","A-E-A-299",1,"2019-02-13","2019-02-13","user_1","user_1",5982
300,"A","F","L","A-F-A-300",5,"2021-02-02","2021-02-02","user_1","user_1",6035
301,"A","A","A","A-A-A-301",3,"2021-02-02","2021-02-02","user_1","user_1",5973
302,"A","B","B","A-B-A-302",4,"2020-02-08","2020-02-08","user_1","user_1",5971
303,"A","C","C","A-C-A-303",3,"2018-08-17","2018-08-17","user_1","user_1",6101
304,"A","D","D","A-D-A-304",2,"2020-08-06","2020-08-06","user_1","user_1",6035
305,"A","E","E","A-E-A-305",1,"2019-02-13","2019-02-13","user_1","user_1",5971
306,"A","F","F","A-F-A-306",1,"2021-02-02","2021-02-02","user_1","user_1",6035
307,"A","A","G","A-A-A-307",3,"2021-02-02","2021-02-02","user_1","user_1",5973
308,"A","B","H","A-B-A-308",4,"2020-02-08","2020-02-08","user_1","user_1",6060
